,debate,date,speech,name,party,sentiment,score
315,Brexit Negotiations,11 December 2017,I thank my right hon. Friend for confirming very clearly that the so-called EU divorce bill will be paid only if we are successful at negotiating an acceptable trade deal with the European Union. Does she agree that this will certainly focus the minds of EU negotiators and is our best chance of obtaining an acceptable outcome for the UK?,Andrew Bridgen,Conservative,Confident,0.882696
316,Brexit Negotiations,11 December 2017,"I thank my right hon. Friend for her reaffirmation that British citizens resident throughout the EU will continue to receive uprated pensions and, as I now understand it, healthcare and health-related exportable benefits. May I ask her to indicate whether those will continue into the foreseeable future?",Sir Roger Gale,Conservative,Tentative,0.655928
317,Brexit: Health and Social Care Workforce,13 December 2018,"I thank the Minister for his response. The Cavendish report on the current and potential staff shortages across all the key health and social care professions makes for alarming reading and shows how dependent we are on the work and dedication of EU nationals. I want to focus on social care workers. What is the Minister’s response to the Government’s Migration Advisory Committee, which says that these vital staff fall into the category of “low-skilled” and therefore do not merit preferential rights here in any post-Brexit scenario? In the past he has acknowledged the skilled, caring jobs that these staff do in community services, people’s homes, nursing homes and care homes. Does he agree that they are definitely not low-skilled? What is he doing to convince the MAC otherwise? What is the strategy for recruiting the 130,000 new social care workers that we need each year just to stand still, let alone to address the future demands of the service?",Baroness Wheeler,Labour,Joy,0.554508
318,Brexit: Economic Forecast,28 November 2018,"I thank the Minister for that Answer to my Question, if that is what he thinks it was. The Prime Minister repeatedly asserts that rejecting her deal will take us back to square one. That can mean only one thing: that we continue with our current status, which is full membership of the European Union, with all its benefits and with all our current opt-outs. Does the Minister agree with the majority of this House, the majority of the other place, and the majority now of the voting public that square one is a great place to be, and the best option for the country?",Lord Strasburger,Liberal Democrat,Confident,0.818552
319,Brexit: Economic Forecasts,24 October 2018,"My Lords, as full EU members we currently enjoy the best possible trading terms with the EU 27. Any other deal must, by definition, be worse. Our Government are striving for a deal with our biggest trading partner that can only downgrade what we have now—that is worth thinking about. Does the Minister know of any other country that has deliberately degraded its trading relationship with its biggest customer?",Lord Strasburger,Liberal Democrat,Tentative,0.871674
320,Brexit: Economic Analyses,24 January 2018,"My Lords, the absurd mantra that, “No deal is better than a bad deal” has now been replaced by, “We will get the best deal for Britain”. In the event that Brexit actually happens, the best deal is bound to be worse than our current arrangements with the European Union. The only issue is: how much worse? How bad will the deal have to be for the Government finally to face down the Brexit fanatics in their own ranks and exit from Brexit, as most voters now want?",Lord Strasburger,Liberal Democrat,Confident,0.705078
321,Brexit: Trade Arrangements,12 January 2017,"I thank the Minister for that familiar Answer. The case for government working on a transition deal to provide continuity and certainty for Britain, and for British business in particular, at the end of Article 50 is overwhelming. For one thing, it is difficult to find a single person who thinks that a successful exit and incorporation of EU law into British law can take place within two years; for another, we know that the negotiation of a new arrangement cannot start until the Article 50 process has finished. Either the Government are not working on a transition deal, in which case they are severely letting Britain and British business down, or they are, but they are not telling us. Which one is it?",Lord Wood of Anfield,Labour,Confident,0.594134
322,Brexit: Logistics Industry,8 May 2018,"I thank the Minister for that reply. Since he is close to the logistics industry, does he agree that the line favoured by the Prime Minister has the potential to solve the looming crisis in the supply chain industry, or does he agree with the Foreign Secretary, who has described the Prime Minister’s proposals as “bonkers”?",Lord Bradshaw,Liberal Democrat,Tentative,0.554242
323,Brexit: Transport,6 February 2017,"Lastly, I turn to the position of Airbus. It is a joint venture between France, Germany, Britain and, I think, Italy. A huge number of skilled workers in Cheshire depend on Airbus for their living. If the Airbus consortium were broken up in any way, Cheshire could lose out very heavily because there are manufacturers on the continent of Europe that will willingly step into the void left by our withdrawal, and there will be tremendous casualties. That applies in a lot of other areas besides transport. A lot of employment depends on our remaining in the European Union. The examples that I have cited involve transport—I have tried to stick to this particular debate—but I am sure there are many others in many other areas.",Lord Bradshaw,Liberal Democrat,Tentative,0.734311
324,Brexit: Transport,6 February 2017,"My Lords, I will add some burdens to the Minister in his reply by mentioning other factors that must be taken into account. I will talk about the British bus building industry. It is one of our great successes, with Wrights of Ballymena, Alexander Dennis in Scotland and Optare in Leeds. They are world leaders in the manufacture of buses. When we talk about buses, we always talk about all the components that go into building buses. I want to know that these people will be able to trade with countries in Europe on the same basis as they do now. If they are not, it will immediately deal a blow to employment prospects here. There are plenty of other people waiting to fill the gaps that we create for bus purchases.",Lord Bradshaw,Liberal Democrat,Joy,0.651505
325,Brexit: Transport,6 February 2017,"Secondly, I am concerned about road safety. Figures published in the last couple of days show that serious road casualties of children are going up again, quite steeply. In statistics published by the Department for Transport, little coloured markers show each road user—pedestrians, cyclists, motorcyclists and cars. But lorries are missing. The need to keep the strictest control on lorries is vital if road safety is to be enhanced. Most serious casualties involve one or more heavy goods vehicles. Any race to the bottom that may be envisaged to allow the road haulage market to be liberalised must be balanced very carefully with the damaging effects of that on road safety and on the environment.",Lord Bradshaw,Liberal Democrat,Sadness,0.612896
326,Brexit: Transport,6 February 2017,"The existing railway franchise competitions, which when the railways were privatised were envisaged as something quite separate from the state, are now populated ​heavily by not only European Governments but foreign Governments. To that extent, I suppose they are nationalised. However, if they withdrew from competitions, which is a possibility, there would be very little competition left in the British market. Very often, they are one of two bidders, or two out of three, for franchises. They mostly run the trains very well and bring a lot of experience, but if we cut ourselves off, that element of competition will not be available to us.",Lord Bradshaw,Liberal Democrat,Tentative,0.764224
327,Brexit: Equalities Impact Assessment,21 December 2017,"I thank the Minister for that response. I tabled this Question when we were informed that impact assessments were being carried out. We know that certain groups—for example, ethnic minorities, women in low-paid service sector jobs and people with disabilities—are more at risk than others from economic impacts or a loss of rights and protections. What impact assessments, rather than analysis, will be carried out to assess the impact on equality sector by sector so that we will know whether certain groups will be more at risk than others? If and when the Government introduce new legislation, will they undertake to ensure that they produce equality impact assessments alongside it?",Baroness Hussein-Ece,Liberal Democrat,Confident,0.56543
328,Brexit: No Deal,11 September 2018,"My Lords, the idea of voting eroding democracy is a very new concept. Can the Minister outline how he expects the public to have confidence when Ministers and other government representatives are advising the stockpiling of food and pharmaceuticals, thus causing alarm to many people, particularly those who are dependent on drugs that come through the EU?",Baroness Hussein-Ece,Liberal Democrat,Confident,0.904682
329,Brexit: Women in the Workplace,16 January 2018,"My Lords, the Minister mentioned the right to flexible working, but there is growing evidence that women who ask their employers for flexible working hours—particularly if they are older women, caring for elderly relatives or younger women trying to juggle work with caring for children—are often faced with discrimination, being ostracised or not being promoted. Is any work being done to look at this in a bit more detail and at why these women face such discrimination?",Baroness Hussein-Ece,Liberal Democrat,Tentative,0.881481
330,Brexit Negotiations,11 December 2017,I thank the Prime Minister for her statement and also for her strength of character. Will she confirm that any regulatory alignment required to ensure north-south co-operation will not require either the United Kingdom or Northern Ireland to be a member of any single market or customs union?,Jim Shannon,Democratic Unionist Party,Tentative,0.966403
331,Brexit Timetable,7 September 2017,Nowhere is the timetable for leaving the EU more important than in Northern Ireland and the Republic of Ireland. Press reports today indicate that there will be a special relationship in how we work the border between the Republic of Ireland and Northern Ireland. Can the Minister give us some idea of those discussions and of what has happened so far?,Jim Shannon,Democratic Unionist Party,Tentative,0.55795
332,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,"The Secretary of State will be aware of the importance of fishing in the Brexit negotiations, particularly for the village of Portavogie in my constituency. He will also know about the attacks on British fishing fleets just last week. I have received information that boats from the Northern Ireland fishing fleet are heading to their legal fishing grounds. What discussions has he had with his European counterparts to ensure that fishing rights are protected in the Brexit negotiations?",Jim Shannon,Democratic Unionist Party,Tentative,0.616216
333,Brexit Negotiations,11 December 2017,"I thank the Prime Minister for her strong statement of support for Northern Ireland as an integral part of the United Kingdom. Businesses in Northern Ireland do not want a hard border, and we in the DUP are fully committed to working closely with the Prime Minister to find solutions and a good outcome in relation to that. However, will the Prime Minister confirm and commit that, in finding solutions, not only will Northern Ireland businesses have full and unfettered access to the UK market, but UK businesses will have full and unfettered access to Northern Ireland markets?",Emma Little Pengelly,Democratic Unionist Party,Confident,0.598512
334,"Brexit, Science and Innovation",6 September 2018,"I thank the right hon. Gentleman for what he has said. I declare an interest: I am a member of the board of the Liverpool School of Tropical Medicine and the Innovative Vector Control Consortium. Does he agree that in attracting the highest calibre scientists and researchers from around the world, any legislation needs to look at the qualifications and experience of those people, not just a purely salary-based criterion? So often, science does not pay enough; the salaries are not high enough. We might find that if an arbitrary limit of £30,000, £35,000 or £40,000 a year was set, we would be excluding the best and the brightest, simply because scientists do not work for lots of money—they work for other, higher ideals.",Jeremy Lefroy,Conservative,Tentative,0.873952
335,Brexit Negotiations,11 December 2017,"May I thank the Prime Minister for her tremendous work and for the letter that she has written to citizens today, which is incredibly helpful? When does she think we will get a clear picture of what the transitional or implementation period will look like? Mr Barnier has mentioned that it will possibly be by March.",Jeremy Lefroy,Conservative,Tentative,0.827288
336,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,"Thank you, Mr Speaker. May I thank my right hon. Friend, his colleagues and their teams for the huge amount of work they have done over the past couple of months in making a great deal of progress, as was quite evident last week and, indeed, in the Exiting the European Union Committee’s meeting with Mr Barnier yesterday? However, while I understand that the idea of coming away from all this with no deal must be put out there, it cannot be contemplated with any degree of equanimity. It would be seen by the world as a failure on the part both of ourselves and of the European Union. It is not acceptable.",Jeremy Lefroy,Conservative,Confident,0.601235
337,The Government's Plan for Brexit,7 December 2016,"I was a remainer, too, and I welcome the fact that a statement of the broad parameters of the British negotiating position will be made clear, but does my hon. and learned Friend agree that we should never allow any demands for excessive granularity to undermine the UK’s negotiating position or the national interest?",Alex Chalk,Conservative,Confident,0.56543
338,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,It is encouraging that agreement has been reached to ensure that UK and EU nationals will continue to live broadly as before. Will my right hon. Friend encourage our European friends to publicise that progress? It is important to give British nationals the reassurance that they seek.,Alex Chalk,Conservative,Joy,0.642344
339,Brexit and Foreign Affairs,26 June 2017,"No tariffs; frictionless trade; the best possible access to, but not membership of, the single market—is not the truth that there is vanishingly little difference between the strategic priorities of those on both Front Benches? Does my right hon. Friend agree that it would help our constituents, and indeed our negotiators, if all parties were to make that clear?",Alex Chalk,Conservative,Confident,0.848656
340,Brexit Negotiations,11 December 2017,"I welcome the give and take that has been shown in these negotiations, especially the sense that we will not crash out without a deal, which gives a sense of optimism even to wannabe remainers. While Taunton Deane is a wonderful place to live, I have had several people come into my constituency office who also have homes in the EU. They are very concerned about whether their rights will be protected, and whether they will have to make a choice to stay there or come back here. Can the Prime Minister make it clear that even for them, we are making good progress?",Rebecca Pow,Conservative,Joy,0.843207
341,Brexit Negotiations,11 December 2017,I welcome the progress made last week. Will the Prime Minister confirm that an ongoing role for the ECJ for eight years does not mean that EU nationals in the UK will have greater rights than UK nationals?,Nigel Mills,Conservative,Joy,0.642574
342,Brexit: Environmental and Animal Welfare Standards,20 July 2017,I welcome the Secretary of State to his place and thank him for his visit to Wakefield during the recent election. He can rest easy in the knowledge that he played some small part in my return to this place.,Mary Creagh,Labour,Joy,0.78464
343,Brexit Negotiations,11 December 2017,"The Brexit Secretary has captivated the House with tales of regulatory impact assessments that do not exist. The Chancellor has said that the divorce bill will be paid in all circumstances, but the Brexit Secretary contradicted him at the weekend, saying that it would be conditional on a trade deal. The Prime Minister’s deal with the Taoiseach, promising full regulatory alignment, has been dismissed by the Brexit Secretary as a statement of intent. If she cannot even get her Brexit Secretary to agree with her, how on earth is she going to get a good deal that protects jobs, investment and growth in this country?",Mary Creagh,Labour,Joy,0.52588
344,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"I wish to concentrate today on a relatively narrow aspect of the effects of leaving the European Union—the effect on our coastal and border defences. The new UK economic exclusion zone, or 200-mile limit, did not even exist as such in 1973, when we joined the EEC. It will consist of some 770,000 square kilometres of sea when we leave the EU, and many nations will cast covetous eyes on our riches, both fishy and oily. At the same time, we are faced with myriad considerations in defence of the border, many of which will be exacerbated by our newly independent status. We have to contend not only with serious organised crime, including drug-, people- and firearms-smuggling, but also with modern slavery, terrorism, immigration and, last but not least, fisheries protection and anti-poaching activities. There is a very large Spanish fishing fleet that will be very discomforted by the lack of access—in theory at least—to our parts of the north Atlantic.​",The Earl of Cork and Orrery,Crossbench,Sadness,0.581047
345,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"My Lords, it is a great privilege to follow the noble Lord, Lord Ashdown, who I remember as a young Royal Marine officer in the Far East very many years ago. Equally very many years ago, as youngsters leaving primary school, a kindly headmaster gathered us together and made the point that, although we had reached the top of our first school, our destiny was to start again at the bottom next term and, having worked our way to the top again, to leave, and recommence at the bottom. “In fact”, he said, “that will be your destiny throughout your life”. In joining your Lordships’ House, I feel like that small boy, with the principal difference that, instead of the usual treatment meted out to new boys at secondary schools, I was greeted here with the utmost warmth and kindness. There were only a few frightening adults, and I could find no obvious sneaks and bullies, despite Black Rod’s warnings—only myriad corridors and staircases, guaranteed to leave you feeling very foolish when trying to find someone or something. My sincere and grateful thanks are due to all of those who have assisted me in this fascinating learning process, from doorkeepers and House staff to mentors and colleagues. No names, as they say, and no pack drill, but thank you all.",The Earl of Cork and Orrery,Crossbench,Joy,0.692632
346,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The asset base that we have for dealing with all this is minimal and will require reinforcement if we are to be successful in defending our borders against such threats. We currently have a situation where the Border Force has three coastal cutters operating on our 11,000-mile coastline. It owns two more but budget constraints mean that it cannot operate them, so they have been lent temporarily to DfID and are currently in the Mediterranean in support of the refugee effort. The Border Force has also ordered eight high-end RIBs for coastal and riverine patrolling. However, the same constraints will allow it to take delivery of only four of them at this time. It does not currently own or operate any aircraft in a maritime patrol role—partially because of the aforementioned budgetary constraints—although the RAF is eventually due to receive nine new Poseidon long-range maritime patrol aircraft.",The Earl of Cork and Orrery,Crossbench,Fear,0.586872
347,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The Government’s aim is to secure our borders while still allowing legitimate trade to continue unhindered. This is, of course, an admirable objective, but we do need better funded and co-ordinated command and control facilities. Our border is a unique point of intervention and a critical line of defence, where the UK can, and does, identify and disrupt threats to our security. Brexit will throw our existing facilities and organisation into stark relief, and we need to be prepared for it. Without close and continuing liaison with our closest maritime collaborators and neighbours—Spain, France and the Netherlands—we will struggle to remain masters of our space, so we must maintain this at least as a part of our divorce settlement with the EU.",The Earl of Cork and Orrery,Crossbench,Confident,0.857062
348,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The main objection to providing more assets for the defence of our border, apart from finance, appears to be that we cannot man more vessels, given present low rates of recruitment and retention. However, one asset that seems to be largely overlooked is the Royal Naval Reserve. This force has been allowed to wither on the vine, in contrast to the Army Reserve. Currently, the target is to have 3,000 members of the Royal Navy Reserve. In 1993, the RNR’s squadron of 12 MCMVs was disbanded and sold to foreign buyers. This squadron, based in 11 separate operating bases around our coasts, provided an excellent focal point for volunteer mariners to train and develop their skills and produced some superb seamen. The vessels were used for a multitude of tasks, which included coastal patrolling and defence. Instead of selling or scrapping the four Batch 1 River class OPVs when the Batch 2 vessels become available, why not transfer them to a revitalised Royal Naval Reserve, which could provide much needed back-up to the Border Force, and provide the Royal Navy with a ready source of trained personnel to supplement its very stretched manpower resources? The appeal of joining the current RNR and being trained to act, at most, as an armed guard on board an RN ship is low, but give them their own vessels and the chance to develop as a team and watch recruitment take off, especially among those trained by the RN but leaving for other reasons.",The Earl of Cork and Orrery,Crossbench,Tentative,0.705429
349,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The National Maritime Information Centre, or NMIC, formed at Northwood in 2010, I believe under the aegis of the noble Lord, Lord West, is an essential tool in the garnering of information, but it is neither funded nor equipped to act as the national command and control centre for the maritime assets committed to border defence, which we urgently need. This funding, which would normally come from Home Office resources, is badly needed—I know this is another rant on the subject of funding our forces—and could transform the capabilities of NMIC. Of the many force elements which go make up NMIC, some are volunteer charities, such as the RNLI, but the majority could contribute, in addition to the Home Office.",The Earl of Cork and Orrery,Crossbench,Tentative,0.699737
350,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The Royal Navy also has a total of 15 mine countermeasures vessels, all of them minehunters. Most of these, as your Lordships are aware, are deployed either in the Clyde—which has seven—to protect the deterrent, or in the Iranian Gulf, which has four. That leaves four, which is clearly inadequate to protect our harbours from mine attack, let alone to assist in the defence of our inshore waters, which has historically been one of the primary roles of MCMVs.​",The Earl of Cork and Orrery,Crossbench,Confident,0.652364
351,Brexit: Armed Forces and Diplomatic Service,8 December 2016,"The Royal Navy has four larger offshore patrol vessels, suitable for fishery protection in the north Atlantic, although one is permanently stationed in the Falkland Islands, which leaves us with three. The new series of OPVs—called the Batch 2 River class—are under construction and five have been ordered. The fate of the first four, once the new vessels come into service, depends on who you ask, but the 2015 SDSR implies that they may be offered to the Border Force.",The Earl of Cork and Orrery,Crossbench,Tentative,0.706892
352,Brexit Negotiations,11 December 2017,"I wonder whether the Prime Minister will help us to clarify what is meant by “full alignment”. There was speculation in the newspapers this weekend that No. 10 had been selling it to the Foreign Secretary as a meaningless concept. I do not want her to say, “Full alignment means full alignment”; I want her to say whether she means it to apply to all areas of trade, or whether it is limited to agriculture and energy. Will she explain what she means by “full alignment”?",Mr Chris Leslie,Labour (Co-op),Tentative,0.643172
353,The Government's Plan for Brexit,7 December 2016,"My hon. and learned Friend is right to insist on a plan. It is important that we do not stand in the way of the will of ​the British people in the referendum, but does he accept that there are many people in all parts of the House who have some doubts and misgivings about the timing of the invoking of article 50? Many people think that 31 March is simply too soon—that we are rushing into it—and that as we will not start negotiations until after the German elections, we may get only a year of negotiations. Does my hon. and learned Friend accept that there is risk in that timetable?",Mr Chris Leslie,Labour (Co-op),Tentative,0.667502
354,Brexit Negotiations,11 December 2017,"If EU citizens’ rights were the Government’s No. 1 priority, it is frankly shocking that they have taken 18 months to get an agreement. The Prime Minister undercut that agreement by twice saying in her statement that “nothing is agreed until everything is agreed”. That insinuates that they still might be bargaining chips. So that I can give my constituents some sort of reassurance, will she tell me when the voluntary application process outlined in the technical note will be up and running?",Alan Brown,Scottish National Party,Tentative,0.781683
355,The Government's Plan for Brexit,7 December 2016,"If the hon. and learned Gentleman accepts the Government’s amendment, is he not effectively giving unilateral support to whatever plan they decide to present, which means that Opposition Members will not be able to perform their parliamentary role of scrutinising the Executive?",Jonathan Edwards,Plaid Cymru,Confident,0.818552
356,Brexit: Negotiations and No-deal Contingency Planning,4 September 2018,"If we were to stay in the EEA, would it be permitted and allowed under the rules to negotiate trade deals with the other countries which have about 7 or 8 billion people around the world, or would that be blocked?",The Earl of Erroll,Crossbench,Tentative,0.761647
357,Brexit: Financial Settlement,12 October 2017,"My Lords, may I ask the Minister whether the huge value of our fishing rights to 80% of our fish stocks will be included in the settlement, either financially or by being repatriated?",The Earl of Erroll,Crossbench,Tentative,0.599484
358,Arts: Impact of Brexit,11 October 2018,"If you couple these concerns with the statistics published in the Guardian this week on the number of 15 and 16 year-old students taking arts exams falling to the lowest level in a decade—the noble Lord, Lord Black, will doubtless deal with this in his debate next Thursday on the state of music education in schools—it is small wonder that the arts world is in some despair. And I choose those words advisedly. Perhaps the Minister will be able to give all of us great cheer and show us that we are being unduly pessimistic. However, despite my great admiration for the noble Viscount and his evident fondness for the arts, I rather doubt it.",Lord Berkeley of Knighton,Crossbench,Tentative,0.724637
359,Arts: Impact of Brexit,11 October 2018,"If, in common with the orchestras, a production or a concert is financially possible only because it is being seen or heard in London one evening and in Paris or Berlin the next day or the next week, then any hiatus in transport—not only for the artists but for all the instruments and, in the case of ballet or opera, the sets and props—can throw the whole endeavour. I gather there used to be a special office at the Home Office to help with visiting artists and their visas. Will the Minister kindly update us on the status of this office, since clearly there is going to be a real and valuable role for it in the coming months?",Lord Berkeley of Knighton,Crossbench,Tentative,0.832749
360,Brexit: European Union-derived Rights,4 April 2017,"My Lords, my first point echoes nicely the noble Lord, Lord Judd, in that a prime example of the uncertainty facing EU nationals is to be found in the world of music and other artistic institutions and places of learning. Many professional and visiting professional posts are filled, vitally, by artists from the EU. They enrich our lives immeasurably. Indeed, this artistic intercourse—it is true of the world of science too—is absolutely vital to intellectual exchange, innovation and excellence. I understand that ​the Minister will not be able to unravel this this evening, he will be glad to hear me say. However, like the noble Lord, Lord Judd, I would be grateful if the Government placed high in their priorities the concept of giving some kind of lead to our great institutions of learning, so that they can fill these professorial posts with people of the quality that our country needs and deserves.",Lord Berkeley of Knighton,Crossbench,Joy,0.705567
361,Arts: Impact of Brexit,11 October 2018,"My Lords, the noble Lord, Lord Bragg, has put his finger on a vital issue—one that is causing wide concern in the arts world. The Government have repeatedly acknowledged the financial and social contribution that the creative industries play in our lives, and I am sure that the Minister will do so again today. This country has a huge amount to be proud of in the field of arts. However, as we prepare to exit the EU, that contribution is at risk. I do not think anybody is exaggerating when they mention with great passion their concerns. I will concentrate on details that affect my area of expertise—that is, music and music education, on which I hope the Government might be able to reassure us somewhat. To this end, I have canvassed various bodies for assistance and questions: the London Symphony Orchestra, the City of Birmingham Symphony Orchestra, the Royal Opera House, the Royal Academy of Music and UK Music. As we will hear this afternoon, there are many concerns, but I will narrow them down. The main thrust of what I have heard and continue to hear is to do with the limitation and difficulty of movement, and in many cases our exit from the EU only exacerbates existing problems.",Lord Berkeley of Knighton,Crossbench,Joy,0.607505
362,Arts: Impact of Brexit,11 October 2018,"Stephen Maddock of the CBSO makes a further telling point, and one to which I can attest from my experience as artistic director of the Cheltenham Festival. Mr Maddock points out that many soloists and conductors come to this country at approximately half the fee that they command in parts of Europe. If they further have to negotiate complex visa and work documentation, there is a real risk they will say that it is simply not worth the candle. That would hugely impoverish our cultural landscape.",Lord Berkeley of Knighton,Crossbench,Confident,0.786745
363,Arts: Impact of Brexit,11 October 2018,"The arts depend on a cultural exchange of ideas, physical presence, artistry and creativity—an intercourse of thought and technique, whether that technique be dancing or instrumental. Jonathan Freeman-Attwood, the principal of the Royal Academy of Music—my alma mater—was passionate in his concerns that there should be no single pedagogy but open thinking and dialogue. To that end, it is vital that he can attract an international range of collaborators. For example, one teacher comes from Paris every week for two or three days, and there are cultural exchange programmes for students and teachers with Vienna, Freiburg and Berlin. The UK offers considerable value for money to students whose input, both financial and creative, is part of the lifeblood of the institution. As I speak, the academy has more EU students than ever before.​",Lord Berkeley of Knighton,Crossbench,Joy,0.637088
364,Brexit: People’s Vote,25 October 2018,"If, during the European referendum, we had said that there was going to be a second chance to vote, it would have changed the result profoundly. Leave would have won a heavy victory and would have established a national consensus behind Brexit. Any second vote would have started in a fundamentally different place. But during all the debates in Parliament no one suggested two votes; no one proposed a second referendum. A second referendum might easily be even more divisive than the first. I respect the hopes of the noble Lord, Lord Marks, that it would be an urbane discussion on climate change—good luck with that. It would also ​very likely produce an outcome that remains disputed. Let us be clear that this so-called people’s vote, if it ever took place, would indeed be a second referendum. The idea at the Labour conference that it might be a referendum without a remain option was obviously ridiculous. Mr Corbyn appeared to suggest that we might be offered two options in such a referendum, both of which he was against.",Lord Finkelstein,Conservative,Tentative,0.676734
365,Brexit: People’s Vote,25 October 2018,"My Lords, it is a privilege to follow so many compelling speeches. I start by telling noble Lords about an article that I did not write in the Times. About two weeks before the referendum in Scotland, I consulted a friend who was working on the union campaign. “We’re going to win,” he said, “But I have one remaining worry. I’m concerned that Alex Salmond will offer voters a second referendum”. If he does that, my friend said, “We will lose 65-35 or worse”. The risk of supporting independence would have been removed. I realised that he was right, and the thought was powerful. I decided that I had better not write a column about it, because I did not want to help end the union by giving Mr Salmond any ideas.",Lord Finkelstein,Conservative,Tentative,0.68097
366,Brexit: People’s Vote,25 October 2018,"We promised people they could make the choice in an up and down referendum. A second referendum is therefore an outcome to be avoided if it can be. But to say this is not enough, I am afraid. I finish with an observation and a warning. The observation is that, if Parliament cannot agree on a deal, there may well be a second referendum, however undesirable. The warning is to my Brexiteer friends. Having voted to remain, there are many of us who regard it as our constitutional duty to make our very best efforts in good faith to deliver Brexit. We do not, however, expect to be making that good faith effort alone. I am not going to make it by myself. You cannot look to us to deliver your Brexit if you will not make compromises yourself. You cannot expect us to tip the country into chaos because you will not make the good faith effort that you demand from us. Good faith cannot be a one-way street. So the warning is this, and I hope you are listening and understand that I am not alone: you cannot take the rest of us for granted.",Lord Finkelstein,Conservative,Joy,0.649835
367,Brexit: People’s Vote,25 October 2018,"What is being proposed now is a fresh vote on Brexit. I agree with almost every argument that I have heard about the damage of Brexit. I voted remain and I agree with them partly because I made those arguments myself in the campaign. But we lost. That is what the referendum was about: testing public support for precisely the arguments and threats that we are now repeating in this Chamber. The noble Lord, Lord Bilimoria, was auditioning for “Just a Minute”—he was all right on hesitation and deviation but not on repetition. Proposing that now, when we did not say previously that we should have a second referendum, is highly undesirable and not a costless option. Millions will feel that we have betrayed our promise. Some are even suggesting a three-option ballot using preference voting; in other words, suggesting that we defeat the result of the last referendum using the voting system rejected in the referendum before that.",Lord Finkelstein,Conservative,Tentative,0.820341
368,Brexit: Legislating for the United Kingdom’s Withdrawal from the European Union,30 March 2017,"In connection with the challenge set out in the White Paper of ensuring appropriate parliamentary scrutiny of the EU legislation being translated into UK law, might my noble friend consider the precedent set some years ago by the tax law rewrite committee? As noble Lords may remember, this Joint Committee of both Houses was set up in similar circumstances with the simple purpose of replicating laws without changing them. It had the advantage that laws could be published in draft, others could look at them, and a Joint Committee of both Houses could scrutinise them and ensure, as the remit was set, that the laws were being translated without changing their meaning. That might be an effective way of dealing with the volume of legislation in this situation.",Lord Blackwell,Conservative,Tentative,0.827288
369,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,"In December 2017 Michel Barnier said the UK would not have a bespoke deal, yet in August 2018 Michel Barnier said the deal given to the UK would be unlike that enjoyed by any other country. So may I urge my right hon. Friend not to listen to the voices opposite who encourage him to treat Michel Barnier as an intransigent person who is unwilling to negotiate and be flexible, but rather to treat him as a sensible pragmatic negotiating partner with whom we can and should negotiate the best deal for both the UK and the EU?",James Cleverly,Conservative,Tentative,0.639737
370,Brexit: Proposed UK–EU Security Treaty (European Union Committee Report),16 January 2019,"In my short contribution tonight I want to say a few words about the position as I see it if there is a deal. I speak as someone who, every day of my working life, deals with senior police officers on this and other matters. Chapter 4 of the report we are debating tonight deals with the transition period. With a deal, that would take us to the end of 2020, with an agreement that present arrangements would continue, for the most part, for 21 months from the end of March this year. But 21 months is not a long time to reach consensus on the future of the vital agreements that at present play such an important and positive role in policing, not just here but in the EU. I will not detail these agreements; that has been done many times and they are well known to noble Lords, as is the fact that they have added greatly to the efficiency and effectiveness of policing, both at home and abroad.",Lord Bach,Labour,Joy,0.5986
371,Brexit: Proposed UK–EU Security Treaty (European Union Committee Report),16 January 2019,"My Lords, I congratulate the members of the committee on conducting this excellent inquiry and, in particular, the noble Lord, Lord Jay, who opened our debate today in such a comprehensive fashion. I declare my interest as the elected police and crime commissioner for Leicester, Leicestershire and Rutland. Further, and more specifically, I am one of the three police and crime commissioners asked to look at the consequences of Brexit on behalf of the Association of Police and Crime Commissioners. In that role, the three of us had a meeting this very afternoon with the Home Secretary. I expressed my gratitude to him for seeing us on a day when other matters are so pressing. The issues raised at that meeting concerned the post-Brexit position for policing and security. Different conditions arise—all of which are incredibly serious—depending on whether we leave as part of a deal or with no deal at all.",Lord Bach,Labour,Confident,0.733433
372,Brexit: Proposed UK–EU Security Treaty (European Union Committee Report),16 January 2019,"The United Kingdom will become a third party—a rather special third party, or so we would like to think. But history shows that it can take many years, and is sometimes impossible, for agreement to be reached by the EU and countries outside it, even when both want to agree on the issues raised. We cannot allow that to happen in this case.",Lord Bach,Labour,Tentative,0.881712
